label,width,height,font_size,label_radius
"""[apartment] owners who had money now""",547.20,28.80,24.0,273.98
"""[apartment] owners who once had money""",561.60,28.80,24.0,281.17
"""[the old drunks'] wives""",360.00,28.80,24.0,180.58
"""a boy on the dance floor""",390.00,30.00,25.0,195.58
"""a couple""",144.00,28.80,24.0,73.43
"""a few old drunks""",270.00,30.00,25.0,135.83
"""a few people""",210.00,30.00,25.0,106.07
"""a foreigner""",187.20,28.80,24.0,94.70
"""a girl Lada didn't know""",360.00,28.80,24.0,180.58
"""a girl"" (at dance practice)",420.00,30.00,25.0,210.54
"""a guy at the end of the table""",465.00,30.00,25.0,232.98
"""a mother"" (at the hospital)",420.00,30.00,25.0,210.54
"""a redheaded soap-opera star""",417.60,28.80,24.0,209.30
"""a short haired woman""",316.80,28.80,24.0,159.05
"""a team of strangers"" (surgeons)",460.80,28.80,24.0,230.85
"""all the children"" (of Russia)",432.00,28.80,24.0,216.48
"""an old lady""",187.20,28.80,24.0,94.70
"""an older boy in a fitted cap""",450.00,30.00,25.0,225.50
"""another five [people in the sauna]""",540.00,30.00,25.0,270.42
"""anyone else in their families""",446.40,28.80,24.0,223.66
"""arsonists""",158.40,28.80,24.0,80.50
"""big familiar men""",259.20,28.80,24.0,130.40
"""children wandering""",288.00,28.80,24.0,144.72
"""city kids""",165.00,30.00,25.0,83.85
"""city people""",195.00,30.00,25.0,98.65
"""drivers""",129.60,28.80,24.0,66.38
"""drunk drivers and petty arsonists"" (134)",590.40,28.80,24.0,295.55
"""everyone else ... [who] had enetered surgery""",662.40,28.80,24.0,331.51
"""female colleagues""",285.00,30.00,25.0,143.29
"""girls from settlements near Esso""",489.60,28.80,24.0,245.22
"""guys in [the dance] group""",388.80,28.80,24.0,194.93
"""her daughter"" (in hospital)",420.00,30.00,25.0,210.54
"""high school boys on their bikes""",475.20,28.80,24.0,238.04
"""investigators""",225.00,30.00,25.0,113.50
"""Kamchatka men""",225.00,30.00,25.0,113.50
"""kitchen crew""",210.00,30.00,25.0,106.07
"""late communters""",244.80,28.80,24.0,123.24
"""male coleagues""",240.00,30.00,25.0,120.93
"""men who carry weapons""",331.20,28.80,24.0,166.22
"""narrow-eyed villagers""",358.80,31.20,26.0,180.08
"""news reporter""",234.00,31.20,26.0,118.04
"""official guide""",240.00,30.00,25.0,120.93
"""old men""",140.40,31.20,26.0,71.91
"""old women""",158.40,28.80,24.0,80.50
"""one [student]""",225.00,30.00,25.0,113.50
"""one boy...in year ten of highschool""",555.00,30.00,25.0,277.91
"""one of the girls"" (at NYE party)",475.20,28.80,24.0,238.04
"""one person up the Okhotsk coast""",475.20,28.80,24.0,238.04
"""other ensembles""",244.80,28.80,24.0,123.24
"""other men"" (who wanted Zoya)",417.60,28.80,24.0,209.30
"""other passengers""",259.20,28.80,24.0,130.40
"""other students""",240.00,30.00,25.0,120.93
"""other villagers"" (in Esso)",388.80,28.80,24.0,194.93
"""parents neglecting their duties""",475.20,28.80,24.0,238.04
"""people ... in Australia""",360.00,28.80,24.0,180.58
"""people ... in Hawaii""",316.80,28.80,24.0,159.05
"""people at a neighbouring campsite""",504.00,28.80,24.0,252.41
"""people freezing to death over the winter""",604.80,28.80,24.0,302.74
"""poachers""",144.00,28.80,24.0,73.43
"""professional [dance] ensembles""",460.80,28.80,24.0,230.85
"""rich visitors""",225.00,30.00,25.0,113.50
"""Russian [bus] riders""",316.80,28.80,24.0,159.05
"""salmon poachers""",255.00,30.00,25.0,128.38
"""somebody in [the sauna]""",360.00,28.80,24.0,180.58
"""someone else"" (a student)",374.40,28.80,24.0,187.75
"""someone"" (also at NYE party)",435.00,30.00,25.0,218.02
"""someone"" (at NYE party)",360.00,30.00,25.0,180.62
"""someone's girlfriend""",316.80,28.80,24.0,159.05
"""Soviet military""",244.80,28.80,24.0,123.24
"""tabloid reporter""",259.20,28.80,24.0,130.40
"""the [Golosovsky girls'] father's friends""",655.20,31.20,26.0,327.97
"""the admitting nurse""",327.60,31.20,26.0,164.54
"""the boys in Esso""",270.00,30.00,25.0,135.83
"""the boys"" (of the dance troupe)",537.60,33.60,28.0,269.32
"""the girl at the desk""",330.00,30.00,25.0,165.68
"""the group"" (friends at NYE party)",530.40,31.20,26.0,265.66
"""the guys"" (Yuri's friends)",405.00,30.00,25.0,203.05
"""the kid who sat behind [Olya]""",465.00,30.00,25.0,232.98
"""the men"" (in Kysusha's family)",446.40,28.80,24.0,223.66
"""the men"" (of the reindeer herd)",499.20,31.20,26.0,250.09
"""the neighbors""",216.00,28.80,24.0,108.96
"""the neighbours they knew"" (Kysusha& Ruslan)",660.00,30.00,25.0,330.34
"""the nurse giving [Olya] an injection""",547.20,28.80,24.0,273.98
"""the nurses""",172.80,28.80,24.0,87.59
"""the other girls"" (of the dance troupe)",631.80,32.40,27.0,316.32
"""the other nurse""",255.00,30.00,25.0,128.38
"""the politicians who were killing the herding indu",750.00,30.00,25.0,375.30
"""the principal""",216.00,28.80,24.0,108.96
"""the public"" (53) ?",273.60,28.80,24.0,137.56
"""the sick people""",255.00,30.00,25.0,128.38
"""the townspeople"" of past Zavoyko",554.40,33.60,28.0,277.71
"""the university""",240.00,30.00,25.0,120.93
"""the whole family"" (Valentina's extended family)",720.00,30.00,25.0,360.31
"""the women in the school office""",480.00,30.00,25.0,240.47
"""the women"" (of the reindeer herd)",489.60,28.80,24.0,245.22
"""tourist group from Tokyo""",390.00,30.00,25.0,195.58
"""tresspassers""",201.60,28.80,24.0,101.82
"""two elderly women""",285.00,30.00,25.0,143.29
"""Uzbek"" ethnic group",300.00,30.00,25.0,150.75
"""vagrants""",144.00,28.80,24.0,73.43
"""village women"" (of Esso)",375.00,30.00,25.0,188.10
"""white kids in the village"" (Esso)",489.60,28.80,24.0,245.22
"""white kids""",172.80,28.80,24.0,87.59
"""yet another woman"" (Oksana's husband's lover)",717.60,31.20,26.0,359.14
"A""girl they knew"" (in photo)",436.80,31.20,26.0,218.96
a bear,93.60,31.20,26.0,49.33
a boy from Achavayam,336.00,33.60,28.0,168.84
a bus driver,172.80,28.80,24.0,87.59
"a girl""from Lada and Kristina's graduating class""",735.00,30.00,25.0,367.81
a hundred patients,259.20,28.80,24.0,130.40
a landlord,150.00,30.00,25.0,76.49
a lost skier,180.00,30.00,25.0,91.24
a native craftsman,291.60,32.40,27.0,146.70
a pilot,105.00,30.00,25.0,54.60
a reporter (161),240.00,30.00,25.0,120.93
a teenager (251),240.00,30.00,25.0,120.93
a trainee (142),216.00,28.80,24.0,108.96
a Ukrainian commuter (161),390.00,30.00,25.0,195.58
a vendor,120.00,30.00,25.0,61.85
a vendor (219),201.60,28.80,24.0,101.82
Airport Security,240.00,30.00,25.0,120.93
Aliens,122.40,40.80,34.0,64.51
Alisa,189.00,75.60,63.0,101.78
Alisa's friends,234.00,31.20,26.0,118.04
Alisa's mother,218.40,31.20,26.0,110.31
Alla Innokentevna,1326.00,156.00,130.0,667.57
Alyona Golosovsky,1479.00,174.00,145.0,744.60
Andryukha,135.00,30.00,25.0,69.15
Anfisa,288.00,96.00,80.0,151.79
Anfisa's Parents,249.60,31.20,26.0,125.77
Anton,120.00,48.00,40.0,64.62
artisan (221),202.80,31.20,26.0,102.59
Artyom,169.20,56.40,47.0,89.18
Artyom's Rescue Teammates,375.00,30.00,25.0,188.10
Artyom's Sister,225.00,30.00,25.0,113.50
Artyom's Team Medic,285.00,30.00,25.0,143.29
Baba / Nadia's Mother,655.20,62.40,52.0,329.08
boring colleague/supervisor (36/37),609.00,34.80,29.0,305.00
boy (221),145.80,32.40,27.0,74.68
Chander,268.80,76.80,64.0,139.78
"Chander's""neighbours"" (73)",374.40,28.80,24.0,187.75
Chander's ex girlfriend,372.60,32.40,27.0,187.00
Chander's ex-girlfirend's friends,475.20,28.80,24.0,238.04
Chander's family,240.00,30.00,25.0,120.93
Chander's father,230.40,28.80,24.0,116.10
Chegga& Ksyusha's father,561.60,46.80,39.0,281.77
Chegga& Ksyusha's grandfather,539.40,37.20,31.0,270.34
Chegga& Ksyusha's mother,604.80,50.40,42.0,303.45
Chegga& Ksyusha's Uncles,374.40,31.20,26.0,187.85
Chegga/Sergei Adukanov,1755.60,159.60,133.0,881.42
Chukchi Indigenous peoples,374.40,28.80,24.0,187.75
civilian search party,365.40,34.80,29.0,183.53
civilians of Petropavlosk,390.00,31.20,26.0,195.62
Classmate 1 (in photo),343.20,31.20,26.0,172.31
Classmate 2 (in photo),330.00,30.00,25.0,165.68
Communists,144.00,28.80,24.0,73.43
crane operators,216.00,28.80,24.0,108.96
cruise-ship tourists,288.00,28.80,24.0,144.72
customs officers,230.40,28.80,24.0,116.10
dancers (218),296.40,45.60,38.0,149.94
Denis,219.00,87.60,73.0,117.94
Diana,156.00,62.40,52.0,84.01
Dima,100.80,50.40,42.0,56.35
dishwashing teenagers,315.00,30.00,25.0,158.21
Doctors,100.80,28.80,24.0,52.42
Dr. Popkov,168.00,33.60,28.0,85.66
Esso Police/Village Officers,571.20,40.80,34.0,286.33
Esso's dance troupes,300.00,30.00,25.0,150.75
Eva,131.40,87.60,73.0,78.96
Fedya,132.00,52.80,44.0,71.08
girl with the golden slipper,403.20,28.80,24.0,202.11
Gleb,76.80,38.40,32.0,42.93
Golosovskaya girls' father,670.80,51.60,43.0,336.39
Gorbachev,129.60,28.80,24.0,66.38
grocery-store cashier,302.40,28.80,24.0,151.88
history teacher,225.00,30.00,25.0,113.50
injured snowboarder,273.60,28.80,24.0,137.56
