id,label
265,"""a child"""
59,"""a lad from the village"""
194,"""airhostess"""
153,"""auld black doctors"""
186,"""Aussies"""
23,"""big fat cop"""
191,"""blondie wan"""
146,"""C2 boys"""
76,"""common whores"""
187,"""crathur"""
222,"""detective from town"""
351,"""every fat Publican in five parishes"""
30,"""fat nonce"""
137,"""floozies"""
173,"""foreign fella"""
120,"""foreigners"" (in Khakassia)"
82,"""four or five boys"" (Josie brought with him)"
301,"""four or five more bollockses"""
317,"""four or five qualified childminders"""
305,"""gimpy lad in Lackagh"""
245,"""girls around the estate"
347,"""Godless fuckin Proddie"""
182,"""Gombeen man"""
81,"""great big fat fella"" (Josie worked for)"
256,"""group of women"""
248,"""hunchbacks"""
234,"""junior solicitors"""
298,"""lads in films"""
251,"""lesbians"""
249,"""lispers"""
292,"""Little bitches at work"""
51,"""little blonde girl"""
307,"""little blondie wan"""
216,"""little madam in a short skirt"""
221,"""mad looking cop"""
328,"""mad old biddy"""
122,"""men and women...who have no work"""
275,"""mental-case friend"""
159,"""naked women"" in a magazine"
254,"""NAMA crowd"""
26,"""next prick"""
363,"""old codgers"""
97,"""old farmers"""
74,"""old guard in front of Ciss's front bar"""
310,"""one of Denis' lads"""
291,"""other fellas driving their cars"""
86,"""other teachers"""
344,"""Paki doctors"""
289,"""People who give out the dole"""
181,"""poor tenant farmer"""
294,"""pricks, bollockses, and stupid fuckers"""
253,"""right-looking wanker"""
144,"""scumbags"""
53,"""smart boys"""
250,"""smelly wans"""
155,"""starving babbies"""
52,"""the boys"" (who worked for Pokey)"
230,"""the cleaner"""
140,"""the cute arses"""
375,"""the McDonaghs' full forward"""
354,"""the other lads"""
47,"""the Pope"" (Seán Pól)"
198,"""twelve other bollockses"""
241,"""wans from the convent"""
99,"""young fella"""
87,"""young lads"""
78,Actor (playing the husband)
79,Actress (playing the wife)
311,Andy (Denis's Friend)
280,Angelina Jolie
178,Anselm Grogan
92,Armed Response Guards
290,Assumpta Gill
133,Auctioneer
368,Audience
352,Auntie Bernadette
164,Auntie Mary
95,Bernie McDermott
357,Bible bashers
333,bigmouths (on the radio & tv)
283,Black Francis
345,blondie lady of the Cassidys
1,Bobby Mahon
359,Bobby's football club
46,Bobby's Grandad
54,Bobby's Mother
226,Braveheart
7,Brian
174,Brian's mother
40,Bridget
9,Bridie Connors
209,Bridie's other children
142,Builders
135,camera crew
111,Child (of the man Vasya worked with)
343,children (abstract)
316,children from the Montessori school
349,Cigire (inspector)
72,Ciss Brien
338,Civil Defence Boys
42,Colin Firth
300,Conleth Barry
24,Cops (general)
64,Cordelia
353,Cousin Coley
339,Crowd at Henry St
229,Darren (Hillary's boyfriend)
17,Denis
267,Denis's father
219,Doctor (Eugene's girlfriend's father)
204,Doctor Lonergan
320,Doctor Roche
152,Doctors
180,Donal Óg
201,Dorothy
202,Dorothy's son
270,Dryffid's girls
38,Dylan (Réaltín's son)
49,Eamonn Burke
91,Eamonn's daughter
314,Eamonn's son
48,Eileen Burke
217,Eugene Connors
33,Eugene Penrose
218,Eugene's girlfriend
306,Fat arsehole in Galway
98,"fella ""with a toughie English accent"""
303,fella from Limerick
304,fella from Limerick's wife
329,fella of the Murphys
242,First Year girl
240,Fishfingers
335,Forensics lads
369,Franciscan lads in Moyross
20,Frank Mahon
350,Frank's Mother
348,Frank's teacher
43,George Clooney
37,George McSweeney
139,George McSweeney's apprentices
107,George McSweeney's girlfriend
108,George McSweeney's girlfriend's mother
138,George McSweeney's Secretaries
318,Ger
215,Girl (who got Bridie's job)
246,Girl from Dublin
247,Girl from Dublin's cousins
252,Girl with hearing aid
143,Girlfriend (of the man who calls George's firm)
200,Girls (in Eyre Square)
67,God
62,Goneril
258,Group of women's children
257,Group of women's husbands
313,Henrietta (the chicken)
11,Hillary
44,Hillary's father
45,Hillary's grandmother
228,Hillary's mother
332,hitchhiker on Esker Line
281,Holly
285,Holly's hypothetical friends
102,Hughie
296,Hughie's Mother
103,Hughie's wife
293,Hughie's Wife's Friend
154,Irish people
10,Jason
25,Jason's ex-girlfriend
29,Jason's father
28,Jason's mother
27,Jason's son
90,Jesus
19,Jim Gildea
360,Joe Brien
308,Joe Duffy
85,John Cotter
210,John English
100,John-John
370,John-John's father
236,Johnny Incest
237,Johnny Incest's parents
190,Joseph Stalin
2,Josie Burke
84,Josie Burke Sr.
203,Judge Judy
13,Kate
259,Kate's father
264,Kate's mother
263,Kate's sister
261,Kate's workers
321,Kathleen Roche
192,Kenny Farrell
238,Kiddyfiddler
61,King Lear
3,Lily
101,Lily's children
105,Lily's Mother
266,Liz (Kate's Friend)
14,Lloyd
274,Lloyd's father
277,Lloyd's father's mistress
276,Lloyd's half-brother
273,Lloyd's mother
125,local militiaman
188,Lorna
189,Lorna's father
32,mad auld culchie
18,Mags Burke
324,Mags' Auntie Pam
326,Mags' Cousin Richard
327,Mags' old lecturer
325,Mags' Uncle Dicky
172,Man (from the new hotel)
131,Man (inside The Miner's Rest)
109,Man (Vasya worked with)
141,Man (who calls George's firm)
158,Man in Chadwicks
179,Marilyn Manson
150,"Mary (""Our  Lady"")"
367,Mary Gildea
214,Mary Wills
176,Matty Cummins
197,McDonaghs' boys
75,Men (Frank didn't like)
128,Men (Vasya lives with)
96,Men (who come see Lily)
127,Men (who planned to travel to Western Europe)
123,Men (who worked with Vasya and her brother)
211,Michael Connors
50,Mickey Briars
