leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Mann",magenta,41,"Peewee (31.6); Grannie (31.1); Brinkley (20.4); Lulu (17.7); The four soldiers (including Charley) (17.7)",256,280.0000,79.17,7,
"Taylor",blue,35,"God (69.8); Smith (22.6); Taylor's congregation (21.2); kidnappers (20.7); Bob (kidnapper) (20.2)",31,364.0000,100.00,9,
"Richard Wright",red,26,"Morrie (12.2); Boss of the optical company (11.7); Pease (11.7); Main boy (8) (11.5); Boss of Clothing Store (11.2)",118,69.0000,26.86,4,
"Big Boy",cyan,15,"Bobo (37.3); Liza Morrison (Big Boy's Mother) (36.3); Lester (34.0); Buck (33.8); Saul Morrison (Big Boy's Father) (26.1)",114,188.0000,56.36,6,
"Sue",green,14,"sheriff's men (36.3); Sheriff Bradley (25.1); Tim (sheriff's man) (23.1); Johnny-Boy (22.4); Jim (sheriff's man) (20.9)",144,217.0000,63.55,8,
"Sarah",yellow,9,"Silas (24.4); gramophone salesman (16.9); Ruth (15.2); ""buddy"" (of gramophone salesman) (11.7); ""white men with pistols and rifles"" (11.2)",3,90.0000,32.07,11,
"Hotel Management",,3,"Bell-boys (10.0); Hall-boys (10.0)",181,2.0000,10.25,0,
"Hospital crowds (100)",,2,"Long line of soldiers (100) (10.0)",311,1.0000,10.00,1,
"Charley",,2,"One of the four soldiers who wants a cigarette (10.2)",325,2.0000,10.25,2,
"""One of the bell-boys""",,2,"Police after the bell-boy (10.7)",175,4.0000,10.74,3,
"""white boys who lived beyond the tracks.""",,2,"Richard's Childhood Gang (10.7)",120,4.0000,10.74,5,
"Jack (Lynch mob)",,2,"unnamed women (Lynch Mob) (10.2)",328,2.0000,10.25,10,
