id,Label
103,"""An Indian...woman"" (grant judge)"
104,"""An older guy who's...Native"" (grant judge)"
282,"""another white woman"""
98,"""black guy...with a white beard"" (grant judge)"
363,"""five or six Indians"""
269,"""huge Indian guy"""
386,"""men behind the bus"""
99,"""middle-aged black guy"" (2) (grant judge)"
100,"""middle-aged white lady"" (1) (grant judge)"
101,"""middle-aged white lady"" (2) (grant judge)"
156,"""old Indian guy in a baseball cap"""
97,"""Old white lady"" (grant judge)"
183,"""Older men"" (at Alcatraz)"
361,"""Person whose lap [Thomas] is in"""
164,"""Pig-brained men"""
173,"""Sea of white faces"""
281,"""some crazy white woman"""
260,"""some hipster"""
137,"""some homies"""
362,"""Someone"" from Vietnam War"
162,"""the adults"""
187,"""the white man"""
284,"""those men"" (who kill women)"
192,"""two [wearing] baseball caps"""
160,"""two big old Indian women"""
169,"""two hundred or so people"""
385,"""unknown artist"""
106,"""vet on the bus"""
75,"""white boy in the Kangol hat"""
261,"""white boys"""
102,"""youngish Hispanic guy"" (grant judge)"
0,[NULL]
251,A Bird
312,A couple of John's friends
171,A few youth
215,A Tribe Called Red
227,A yelling man
195,Abortion resource
193,Adriana
194,Adriana's brother
116,Alcatraz
340,Americans
263,Ancestors
254,Badger
302,Bat
177,Bears
243,Beethoven
330,Benjamin Church
84,Big Oakland Powwow
80,Bill Davis
88,Blue
277,Blue's Adoptive Dad
276,Blue's Adoptive Mom
322,Blue's friend
293,Bobby Big Medicine
142,Bus driver
81,Calvin Johnson
149,Calvin Johnson's Dad
148,Calvin Johnson's Mom
143,Cannabis supplier
76,Carlos
109,Catfish Hunter
240,Chance the Rapper
147,Charles
111,Charlie Finley
379,Children
354,Colonel John Chivington
325,Colonizers/colonists
165,Columbus
315,Corporate Tech Nerds
238,CPS worker
163,Creator
87,Daniel Gonzales
306,Darren Aronofsky
343,Daughter (in the Rolling Head story)
283,dead woman's baby
203,DefeKate Moss
303,DeLonna
67,Dene Oxendene
174,Doctors
356,Drug Dealers
308,Drum Groups
242,Earl Sweatshirt
86,Edwin Black
196,Edwin Black's Fake Self
199,Edwin Black's Fake Self's dad
197,Edwin Black's Fake Self's girlfriend
198,Edwin Black's Fake Self's mom
387,Edwin's 660 Facebook Friends
129,Elmore Leonard
241,Eminem
121,Ernest Hemingway
300,Evangelicals
120,F. Scott Fitzgerald
208,Families
170,First speaker
152,Florencia
372,Forefathers
278,Geraldine
279,Geraldine's Grandmother
96,Gertrude Stein
265,Girlfriend of one of the twins
212,God
161,Group of teenagers
262,Guy in the bleachers
172,Harold
178,Harvey
280,Hector
314,Hipsters
378,Hired thugs
290,Holy Ghost
201,Homer Simpson
118,Hunter S. Thompson
341,Husband (in the Rolling Head story)
223,"Indian Head (''test pattern Indian"")"
351,Indigenous people
352,Iron Eyes Cody
127,Jack London
82,Jacquie Red Feather
113,Jacquie Red Feather's Father
291,James Hampton
189,Jamie Red Feather
202,Jesus
301,Jim
337,Joaquin Murieta
311,John
331,John Alderman
336,John Rollin Ridge
350,John Wayne
200,Johnny Depp
78,Josefina
229,Josefina's Father
231,Josefina's love interest
230,Josefina's Mother
