leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Marie Beaudoin",violet,34,"Sylvie Beaudoin (74.1); Johnny Beaudoin (32.4); Slutty Christy (24.5); Michelle (22.7); Helen Mckay (20.1)",11,201.0000,97.80,8,
"Bing/Bernard Espiritu",pink,33,"Edna Espiritu (57.4); Tita Mae (19.2); Estheticians at Edna's salon (17.9); Hakim (16.6); children in the community (14.8)",28,206.0000,100.00,3,
"Victor",cyan,22,"Lady Roy (19.2); Cindy (16.6); The police (16.6); Pamela Roy (15.3); White people (12.6)",96,31.0000,23.17,18,
"Laura Mitkowski",red,20,"Cory Mitkowski (41.6); Clive (17.0); Ivana (15.7); Mrs. Kamal (15.7); Jessica (Laura's Mom) (14.0)",3,94.0000,50.83,7,
"Hina Hassani",yellow,12,"Jane Fulton (30.6); Evalyn Chau (16.6); ""the literary centre's regulars"" (132) (13.1); Family Doctor (Hina's friend) (13.1); Ryan Hoffman (13.1)",5,170.0000,84.20,16,
"Clementine (orangutan)",,7,"Clementine's siblings (13.1); Other animals (at the zoo) (13.1); Zookeepers (12.2); Painted Box Turtles (11.3); Visitors (of the zoo) (11.3)",106,8.0000,13.07,23,
"Elder Fay",,6,"Bing's Class (12.2); Mrs. Rhodes (11.3); Aiden Chan (10.4); Cole Hester (10.4); Levy (10.4)",295,10.0000,13.95,5,
"the cashier (dollar store)",,6,"the manager (dollar store) (13.1); ""the lady in front of us"" (80) (12.2); ""the rest of the line"" (80) (12.2); Mr. George (12.2); ""a man with a basket of party favours"" (79) (11.3)",115,8.0000,13.07,17,
"Clara Jane Donohue",,5,"Edward Donohue (21.9); Wendy Donohue (20.1); Uncle Olly (19.2); Jason (11.3)",7,43.0000,28.44,4,
"Winsum",,4,"Lorna (15.7); Melvin (13.1); person on the phone with Winsum (11.3)",121,30.0000,22.73,20,
"Residents of the Galloway Shelter",,3,"""abusive partners"" (10.4); ""angry drug dealers"" (10.4)",216,6.0000,12.20,14,
"Aunt (who took away the woman's kids)",,3,"Kids (of the woman who collapsed) (10.4); Woman (Michelle sees collapse) (10.4)",225,4.0000,11.32,22,
"""some man wearing a UFC bandana"" (79)",,2,"""white lady wearing a muumuu"" (78) (10.4)",113,2.0000,10.44,1,
"Autistic child (in video)",,2,"Caregiver (in video) (10.4)",368,2.0000,10.44,2,
"Babies",,2,"Filipinos (10.4)",244,2.0000,10.44,6,
"""parents"" (of children in Landau's class)",,2,"Mrs Landau (10.4)",179,2.0000,10.44,9,
"Parker",,2,"Parker's mom (10.4)",17,2.0000,10.44,10,
"Five Women (holding certificates)",,2,"Photographer (10.4)",371,4.0000,11.32,11,
"Brown family",,2,"Ravinder Kaur (10.4)",308,2.0000,10.44,13,
"""Mitchell next door"" (72)",,2,"Richard (10.4)",94,2.0000,10.44,15,
"People in the East Point Bird Sanctuary",,2,"Wives (of homosexuals) (10.4)",262,2.0000,10.44,21,
"""spies disguised as waiters"" (on TV)(105)",,1,,159,2.0000,10.44,0,
"Powwow Dancers",,1,,377,2.0000,10.44,12,
"Visitors (to the Powwow)",,1,,376,2.0000,10.44,19,
