Acronym,Title,Author Last Name,Author First Name,Publisher,Publication Date,Originally,Research Assistant Team,Notes
ps,the place of scraps,Abel,Jordan,Talonbooks,2013,,Soren Kim,
pp,Pride and Prejudice,Austen,Jane,Penguin Classics,2002,1813,"Emma Ainsworth, Leia Soulsbury, and Rowan Watts",Since Austen does not name any year explicitly in Pride and Prejudice  scholars disagree on when it takes place. Some assume the main action takes place in 1811-1812 around the time Austen wrote the novel. Others  such as Deirdre Le Faye believe it takes place in 1793-1794 because of the militia’s presence in the region and because of the correspondence of the dates. We chose to use 1790’s  but the order of the events remains the same  so someone who prefers the later calendar would get the same graph just 8 years higher. We referenced Andrews  P. B. S. “The Date of ‘Pride and Prejudice.’” Notes and Queries  vol. 15  no. 9  1968  pp. 338–42; Le Faye  Deirdre. “Pride and Prejudice: Chapman’s Internal Dating Corrected.” Notes and Queries  vol. 65  no. 3  2018  pp. 351–57; and  R.W. Chapman “Chronology of Pride and Prejudice.” The Novels of Jane Austen  3rd ed.  vol.2  Oxford UP  1933.
gs,A Visit from the Goon Squad,Egan,Jennifer,Random House,2011,,Kyra Hetherington and Rowan Watts,
pod,The Plague of Doves,Erdrich,Louise,HarperCollins,2008,,Emma Ainsworth and Rowan Watts,
tsatf,The Sound and the Fury,Faulkner,William,Vintage International,2005,1929,Emma Ainsworth and Rowan Watts,We referenced Stephen M. Ross and Noel Polk's Reading Faulkner: The Sound and the Fury / Glossary and Commentary. University Press of Mississippi  1996.
s,Scarborough,Hernandez,Catherine,Arsenal Pulp Press,2017,,Emma Ainsworth and Jessica Jay,
fs,The Fifth Season,Jemisin,N.K.,Orbit,2015,,Faith Lapointe and Rowan Watts,"The Fifth Season does not mention any specific dates, although the chronology unfolds over the span of a few decades. The novel's storyworld may or may not be a future version of our earth. We chose dates set in the future in an effort to capture the passage of time and to allow for the possibility that the stillness is our future. The dates should not be read literally."
thol,The History of Love,Krauss,Nicole,Norton,2005,,Emma Ainsworth and Rowan Watts,
tkam,To Kill a Mockingbird,Lee,Harper,?,?,,Audrey Mugford and Rowan Watts,
be,The Bluest Eye,Morrison,Toni,Vintage International,1970,,Emma Ainsworth and Rowan Watts,
tt,There There,Orange,Tommy,Penguin Random House,2018,,Jessica Jay and Audrey Mugford,
de,Disappearing Earth,Phillips,Julia,Vintage Books,2019,,Jessica Jay and Faith Lapointe,
hp,Harry Potter and the Philosopher's Stone,Rowling,J.K.,Bloomsbury,2004,1997,Kyra Hetherington (with a little help from Abby Phillips and Avery McAllister through Uvic's HUMA 180 Internship),All dates have been based on the 1990/91 calendar due to textual evidence suggesting that Harry Potter’s birthday takes place on Tuesday  July 31. Most fan communities and textual evidence from later books points to events taking place in 1990/92.
sh,The Spinning Heart,Ryan,Donal,Transworld Publishers,2012,,Emma Ainsworth and Kyra Hetherington,
utc,Uncle Tom's Children,Wright,Richard,HarperPerennial,1993,1938,Soren Kim and Alexander McLachlan,
to,Tropic of Orange,Yamashita,Karen Tei ,Coffee House Press,1997,,Kyra Hetherington and Alexander McLachlan,
