
"id","Description <br />(max 150 chars)","Novel <br />(choose)","Not Before<br />yyyy[-mm-dd]","Not After<br />yyyy[-mm-dd]","Duration<br />(days)","Preceding Event <br />(choose)","Explanation <br />(max 500 chars)"
"0","_CHOOSE AN EVENT","_CHOOSE A NOVEL","0000-00-00","0000-00-00","0","_CHOOSE AN EVENT",""
"1","_NO PRECEDING EVENT","_CHOOSE A NOVEL","0000-00-00","0000-00-00","0","_NO PRECEDING EVENT",""
"70","R Alma Mereminski is born","Rowan's History of Love","1920-02-21","0000-00-00","1","_NO PRECEDING EVENT","""[Alma's] birthday was the twenty-first of February (making her older than me by five months and twenty-eight days)"" (128)"
"71","R Leo is born","Rowan's History of Love","1920-08-18","0000-00-00","1","R Alma Mereminski is born","""Leopold Gursky started dying on August 18, 1920"""
"72","R Leo and Alma fall in love","Rowan's History of Love","1930-00-00","1940-00-00","0","R Leo is born","Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940."
"73","R Zvi sees Leo and Alma kiss","Rowan's History of Love","1936-05-01","1936-07-31","1","R Leo and Alma fall in love","""Litvinoff remembered the day, early in the summer of 1936"" (184)"
"74","R Alma Mereminski leaves for America","Rowan's History of Love","1940-02-01","1940-04-30","0","R Zvi sees Leo and Alma kiss","Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester."
"75","R Isaac is born","Rowan's History of Love","1940-10-08","1940-10-31","1","R Alma Mereminski leaves for America","Isaac was 60 when he died the Tuesday before Saturday, October 7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates for each of their birthdays."
"76","R Zvi steals Leo's obituary","Rowan's History of Love","1940-01-27","1941-07-31","1","R Isaac is born","This event happened after Alma leaves for America (and after Isaac Babel dies), and before Zvi leaves for Chile."
"77","R Leo completes The History of Love","Rowan's History of Love","1940-01-27","1941-07-31","1","R Zvi steals Leo's obituary","This event happened after Alma leaves for America and before Zvi leaves for Chile."
"78","R Zvi leaves for Chile with The History of Love","Rowan's History of Love","1941-01-01","1941-07-31","0","R Leo completes The History of Love","Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)"
"79","R The Nazis invade Slonim","Rowan's History of Love","1941-07-01","1941-07-31","0","R Zvi leaves for Chile with The History of Love","Google it."
"80","R Leo escapes the Nazis","Rowan's History of Love","1941-07-01","1945-02-28","0","R The Nazis invade Slonim","Leo ""spent three and a half years hiding"" (12)."
"81","R Alma refuses Leo's proposal","Rowan's History of Love","1945-10-01","1946-08-18","1","R Leo leaves for America","Leo was 25 and Isaac was 5 (13); this event happened after Isaac's 5th birthday and before Leo's 26th."
"82","R Leo leaves for America","Rowan's History of Love","1945-01-01","1945-10-31","0","R Leo escapes the Nazis","This event happened after Leo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday."
"83","R Zvi learns about his family's death","Rowan's History of Love","1945-09-02","1951-09-30","1","R Alma refuses Leo's proposal","This event probably happened after ""the War ended"" but before ""he turned thirty-two"" (156)."
